koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_time0bk,koi_impact,koi_teq,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,koi_kepmag,rho_star,rho_circ,density_discrepancy_ratio,log_koi_period,log_koi_duration,log_koi_depth,log_koi_prad,log_koi_insol,log_koi_model_snr,koi_period_err_ratio,koi_duration_err_ratio,koi_prad_err_ratio,koi_steff_err_ratio,v_shape_metric,planet_star_radius_ratio,depth_x_fpflag_co,snr_x_fpflag_nt,koi_score,koi_score koi_model_snr,koi_score koi_depth,koi_model_snr koi_depth,disposition
0.0,0,1,1,0,131.7376,0.672,1757.0,1.0,5942.0,4.506,0.938,15.824,1757.4412885302083,0.0001863981264931384,9378115.573607707,0.7346243412119918,1.6247205359652572,4.8283137373023015,0.7466879474879752,7.717907414794625,2.884800712846709,9.237579680001943e-06,0.04954622282408074,0.3153150312477196,0.03096600470700673,30.41451302072283,1.183367608350098,124.0,0.0,0.0,0.0,0.0,2095.6,2
1.0,0,1,0,0,137.481093,1.206,1151.0,1.0,6022.0,4.027,1.514,13.579,361.37473692389807,0.9066379231695245,398.58727403911354,2.2895419577261658,0.826978528193466,6.773194785586442,3.7003138317395994,6.028904830081827,3.8022081394209395,1.0170886474910267e-06,0.039956436601028766,0.28129750934370223,0.033211557616537435,678.7152684116385,26.06339097530319,0.0,0.0,1.0,43.8,873.1,38241.78,2
0.996,0,0,0,0,133.404,0.729,1156.0,2.0,6202.0,4.422,1.122,12.692,1210.8512843380006,0.009760507697124856,124043.4697085414,1.8270867152295411,0.7561219797213337,3.86702563949741,0.6043159668533294,6.048954850311007,1.8082887711792655,0.0007389153589136601,4.690261336051916,0.1807226738281038,0.015962592709454597,41.41589255230748,0.7397497863192635,0.0,0.0,0.996,5.079599999999999,46.6128,238.67999999999998,0
0.0,0,0,1,0,134.54239,0.599,1324.0,1.0,6116.0,4.158,1.383,13.518,534.886311189514,0.015294583824978482,34969.983317408056,1.7928814662206205,1.0783415518257502,5.258536496536192,1.0986122886681098,6.5902186272177525,3.3178157727231046,3.049890723633731e-06,0.041653757266853664,0.28499985750007123,0.031229561799995163,98.56681175027748,1.4461305523278727,191.2,0.0,0.0,0.0,0.0,5085.92,2
1.0,0,1,0,0,132.864236,0.073,1485.0,1.0,5313.0,2.936,9.327,13.224,4.757093493634727,0.3790045412522266,12.551514360231746,3.2452915464726977,2.0838256673412983,8.906975972122295,4.366405253770925,7.048916242271003,6.403574197934815,3.0681991808195024e-07,0.0010717609330631282,0.27353394709961487,0.061735366071572484,1049.3449252190892,8.337084985838429,0.0,0.0,1.0,603.0,7382.3,4451526.9,1
0.0,0,1,0,0,182.6493381,0.72,371.0,1.0,5516.0,4.65,0.666,15.743,3448.334875533731,524.2541254675432,6.577601780206911,4.198459285708004,1.7937840849763838,12.398348658581329,3.7428940424201746,1.7047480922384253,7.408833551293248,8.651544350914668e-08,0.0007761123395677034,0.1319747663276379,0.03317621464228132,48362.37303630111,61.891798961262815,0.0,0.0,0.0,0.0,0.0,399838800.0,2
0.0,0,1,0,0,138.0518033,1.069,727.0,1.0,5957.0,4.168,1.286,13.144,588.6304101349642,8.231548808565137,71.50906254888713,3.322097085607036,2.2128299553333526,11.197899601992871,4.214938458520516,4.202899968776446,7.684370064783345,1.0719197302299794e-07,0.000549035435631368,0.29554655427280624,0.03290246767955305,8963.40267352007,51.858435568868146,0.0,0.0,0.0,0.0,0.0,158584145.6,2
0.998,0,0,0,0,138.45,0.048,839.0,1.0,5968.0,4.534,0.881,15.807,1995.7574322528703,0.0007079609934631961,2815045.4688682035,2.3479447415724977,2.0793165338666846,5.351384087484729,0.8241754429663494,4.772631879875022,2.341805806147327,2.9564533962406324e-05,0.08044005137304595,0.28906227417009833,0.026977211791726338,29.989994286327438,1.4528927889979693,0.0,0.0,0.998,9.3812,209.4802,1973.0600000000002,0
0.387,0,0,1,0,133.64546,0.1,780.0,1.0,5406.0,4.433,0.95,14.338,1466.7633793177513,0.009155604690637248,160186.38227524847,2.417258860771888,1.4804675311371402,5.559141984829935,0.9162907318741551,4.482776537774025,2.91235066461494,8.064550818430226e-06,0.050368173676532055,0.11333325777782816,0.013873473915302723,76.17081703363269,1.5789457063729406,258.6,0.0,0.387,6.7338,100.07820000000001,4499.64,2
0.0,0,1,1,1,171.09767,0.722,794.0,1.0,5891.0,4.395,1.015,14.53,1257.8174671693937,0.01921021227141886,65473.091931876115,2.677043844646085,1.4664909031141673,5.828062875166538,1.1019400787607843,4.553666343120976,3.3105430133940246,4.689100746382553e-06,0.04049188947453825,0.2786068265637679,0.026990324218809994,101.58965159278596,1.9802936154742705,338.7,0.0,0.0,0.0,0.0,8941.679999999998,2
